date_dd/mm/yyyy,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd,city_location
2016-03-03,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,seed funding,500000.0,New Delhi
2016-03-04,TinyStep,Consumer Internet,Parenting Social Network Platform,Bangalore,Matt Glickman,private equity,1700000.0,Bangalore
2016-03-04,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",private equity,1000000.0,Chennai
2016-03-04,Arcatron Mobility,Technology,Smart wheelchair Design and Development,Pune,"Sudhir Mehta, Anoop Hingorani",seed funding,1700000.0,Pune
2016-03-04,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,seed funding,150000.0,Kolkata
2016-03-04,Civilsdaily,Consumer Internet,Civil Services News Aggregator,New Delhi,Manoj Kumar & Other undisclosed investors,seed funding,1700000.0,New Delhi
2016-03-04,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",seed funding,100000.0,Gurgaon
2016-03-04,Tarusa World,ECommerce,Handicraft products eTailer,Mumbai,Mohit Gulati,seed funding,1700000.0,Mumbai
2016-03-04,medECUBE,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,private equity,4000000.0,Gurgaon
2016-03-07,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",seed funding,500000.0,Noida
2016-03-07,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",private equity,3000000.0,Bangalore
2016-03-07,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",seed funding,500000.0,Bangalore
2016-03-07,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,seed funding,250000.0,New Delhi
2016-03-07,Wooplr,ECommerce,Curated Fashion ECommerce portal,Bangalore,"Naveen Tewari, Abhay Singhal, Amit Gupta, Piyush Shah, Raghunandan G, Rajiv Mehta",seed funding,1700000.0,Bangalore
2016-03-07,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,seed funding,100000.0,Bangalore
2016-03-08,Finomena,Technology,Credit Worthiness Big Data Analytics,New Delhi,Matrix Partners India,private equity,1700000.0,New Delhi
2016-03-08,Cookaroo,Consumer Internet,Food Delivery Platform,Bangalore,Vijay Krishna Yadav,seed funding,1700000.0,Bangalore
2016-03-08,vPhrase Analytics,Technology,AI based data analytics platform,Mumbai,"Apoorv Ranjan Sharma, Daud Ali and others",seed funding,1700000.0,Mumbai
2016-03-08,LoveCycles,Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Bangalore,Prime Venture Partners,seed funding,750000.0,Bangalore
2016-03-08,Kartrocket,ECommerce,ECommerce SAAS platform,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",private equity,8000000.0,New Delhi
2016-03-08,dunzo,Consumer Internet,Daily Task Management App,Bangalore,"Aspada Investment Advisors, Blume Ventures.",seed funding,650000.0,Bangalore
2016-03-09,Indiamart,ECommerce,B2B Marketplace for SMBs,Noida,Amadeus Capital,private equity,1700000.0,Noida
2016-03-09,SmartVizX,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",seed funding,500000.0,Noida
2016-03-09,MyGubbi,Real Estate,Interior Design & Home D\\xc3\\xa9cor Solutions,Bangalore,"Vipul Parekh, ajesh K Murthy,",seed funding,2500000.0,Bangalore
2016-03-09,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,seed funding,1000000.0,Hyderabad
2016-03-09,Cloudacar,Consumer Internet,Carpooling Mobile App,Pune,"Amit Choudhary, Anuj Puri",seed funding,1700000.0,Pune
2016-03-09,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,seed funding,400000.0,Mumbai
2016-03-09,Yana,Consumer Internet,Personal AI Transaction Engine App,Gurgaon,"Puneet Gupta,",seed funding,1700000.0,Gurgaon
2016-03-10,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,New Delhi,Undisclosed investors,private equity,11100000.0,New Delhi
2016-03-10,Stylflip,ECommerce,Pre-Owned Fashion marketplace mobile app,Mumbai,"Raj Gala Shah, Zaheer Memon",seed funding,1700000.0,Mumbai
2016-03-10,Icertis,Technology,Contract Management Software Solutions platform,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",private equity,15000000.0,Pune/Seattle
2016-03-10,Supplified,ECommerce,Construction material eTailer,New Delhi,Mohit Goel,seed funding,1000000.0,New Delhi
2016-03-11,JollyFoodFellow,Technology,Food Related Marketing & Branding platform,Ahmedabad,Janak Parikh,seed funding,1700000.0,Ahmedabad
2016-03-14,PinkBlue,ECommerce,Medical Supplies eTailer,Bangalore,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",seed funding,223608.0,Bangalore
2016-03-14,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",New Delhi,Agarwal Movers Group,private equity,14900000.0,New Delhi
2016-03-14,eSwasthya,Consumer Internet,Online Medicine Delivery Aggregator,Ahmedabad,Hemang Sahani,seed funding,1700000.0,Ahmedabad
2016-03-15,FlipClass,Consumer Internet,Tutor Search Platform,Bangalore,"S Chand and Co Pvt Ltd, Blume Ventures",private equity,1000000.0,Bangalore
2016-03-15,Proximit,Technology,Advertising Technology,Pune,Funding through 1Crowd platform,seed funding,150000.0,Pune
2016-03-15,WithMe,Consumer Internet,Personalized Fashion App,Gurgaon,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",seed funding,250000.0,Gurgaon
2016-03-16,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,Bangalore,"Chandrashekar Tallapragada, Pankaj Kapoor",seed funding,180000.0,Bangalore
2016-03-16,Avagmah,Consumer Internet,Online Education Portal,Bangalore,"Kris Gopalakrishnan, Atul Nishar",seed funding,1700000.0,Bangalore
2016-03-16,WorkIndia,Consumer Internet,Online Job Board,Mumbai,Beenext,seed funding,1700000.0,Mumbai
2016-03-16,Wealthy,Consumer Internet,Online Investment management portal,Bangalore,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",seed funding,250000.0,Bangalore
2016-03-17,Pramati,Healthcare,Specialized Patient Care platform,Noida,Undisclosed investors,seed funding,200000.0,Noida
2016-03-17,Qlivery,Consumer Internet,Ondemand Concierge Service,Gurgaon,Swastika Company Ltd,seed funding,230000.0,Gurgaon
2016-03-17,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Mumbai,Undisclosed investors,seed funding,800000.0,Mumbai
2016-03-17,Liftiee,Consumer Internet,Car/ bike Pooling App,Mumbai,"Rannvijay Singh, Anita Hassanandani",seed funding,108000.0,Mumbai
2016-03-18,Hello Curry,Food & Beverage,Quick Service Restaurant Chain,Hyderabad,Sashi Reddi & Other unnamed investors,private equity,1500000.0,Hyderabad
2016-03-19,goSporto,Consumer Internet,Online Sports discovery and booking platform,New Delhi,Naveen Gupta,seed funding,30000.0,New Delhi
2016-03-21,OneClickWash,Consumer Internet,Online Laundry & Washing service Booking & Delivery,Gurgaon,Unitus Seed Fund,seed funding,1700000.0,Gurgaon
2016-03-21,Girnar Software,Consumer Internet,Online News Media Network,Jaipur,Google Capital,private equity,1700000.0,Jaipur
2016-03-21,Room On Call,Consumer Internet,Budget hotel aggregator,Gurgaon,CASHurDRIVE Marketing Pvt Ltd,private equity,2000000.0,Gurgaon
2016-03-22,Byju\\xe2\\x80\\x99s,Consumer Internet,Educational Video Content Creator,Bangalore,"Sequoia India, Sofina",private equity,75000000.0,Bangalore
2016-03-22,BigBasket,eCommerce,Online Grocery Shop,Bangalore,Abraaj Group,private equity,150000000.0,Bangalore
2016-03-22,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,Bangalore,"Indian Angel Network, Tracxn Labs & Others",seed funding,600000.0,Bangalore
2016-03-22,Smartron,Technology,Internet of Things Device manufacturer,Bangalore,Sachin Tendulkar,private equity,1700000.0,Bangalore
2016-03-22,LifCare,Consumer Internet,Online Pharmacy portal,Jaipur,"Rajul Garg, Alok Mittal, Kunal Shah, Rishi Mandawat, Dheeraj Jain, Sandeep Tandon, Dexter Angel Circle",seed funding,1700000.0,Jaipur
2016-03-22,CreditSeva,Consumer Internet,Online Credit management tools,Hyderabad,"Pix Vine Capital, Infocomm Development Authority of Singapore",seed funding,360000.0,Hyderabad
2016-03-22,CityShor,Consumer Internet,online lifestyle media recommendation portal,Ahmedabad,GAIN,seed funding,1700000.0,Ahmedabad
2016-03-23,Endless Robotics,Technology,Interior Painting Automation,Hyderabad,"Devidas Desai, Vipul Gautam, Singapore Angel Network",seed funding,100000.0,Hyderabad
2016-03-23,SP Robotics,Technology,Robotic Classes for Students,Chennai,"Indian Angel Network,",seed funding,300000.0,Chennai
2016-03-23,StalkBuyLove,eCommerce,Fashion eTailer,New Delhi,"500 Startups, Littlerock, Singularity Ventures",seed funding,1700000.0,New Delhi
2016-03-23,eKincare,Consumer Internet,Healthcare related solutions,Hyderabad,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",private equity,330000.0,Hyderabad
2016-03-23,HashLearn,Consumer Internet,Mobile based private tutoring services,Bangalore,"Bhavish Aggarwal, Binny Bansal,\\xc2\\xa0 Rajan Anandan, Mekin Maheshwar, Sunil Kalra, Anupam Mittal, Krishna Mehra, Singapore Angel Network",seed funding,1700000.0,Bangalore
2016-03-23,Wheelstreet,Consumer Internet,Online Bike Rental platform,Bangalore,Broadbean Capital services,private equity,500000.0,Bangalore
2016-03-24,Horntell,Consumer Internet,Unified Push Notification service,Gurgaon,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",seed funding,150000.0,Gurgaon
2016-03-28,Schoolkart,eCommerce,Online Marketplace for Schools,Noida,Undisclosed investors,seed funding,300000.0,Noida
2016-03-29,HealthEminds,Consumer Internet,Online mental healthcare,Bangalore,Robin Utthappa,seed funding,1700000.0,Bangalore
2016-03-29,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,New Delhi,"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj",seed funding,300000.0,New Delhi
2016-03-29,Veritas Finance,Finance,Asset Based Lending platform,Chennai,Sarva Capital,private equity,4700000.0,Chennai
2016-03-29,QikShip,Consumer Internet,Mobile based Logistics provider,New Delhi,undisclosed investors,seed funding,200000.0,New Delhi
2016-03-29,FixNix,Consumer Internet,GRC SAAS Platform,Chennai,Jay Vijayan,seed funding,500000.0,Chennai
2016-03-30,True Balance,Technology,Mobile Balance Check App,Gurgaon,SoftBank Ventures Korea,private equity,1700000.0,Gurgaon
2016-03-30,Touchkin,Healthcare,Predictive Healthcare platform,Bangalore,"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal",seed funding,400000.0,Bangalore
2016-03-31,SwitchMe,Consumer Internet,Home Loan Rate comparison platform,Mumbai,"Mohandas Pai, Hiro Mashita, Singapore Angel Network, 500 Startups, Rajan Anandan, Ajay Sarupria",seed funding,1700000.0,Mumbai
2016-03-31,Transcell,Healthcare,Family Stem Cell Banking Services,Hyderabad,Indian Angel Network,seed funding,1700000.0,Hyderabad
2016-02-01,Blue Tokai Coffee,ECommerce,Specialty Coffee Etailer,New Delhi,Snow Leopard Technology Ventures,seed funding,1700000.0,New Delhi
2016-02-02,Altizone,Technology,IoT & M2M Solutions,Pune,"Wipro Ventures,\\xc2\\xa0 Lumis Partners",private equity,4000000.0,Pune
2016-02-02,Oust App,Consumer Internet,Competitive Exam Preparation Platform,Bangalore,"T V Mohandas Pai,\\xc2\\xa0 Aarin Capital",seed funding,1700000.0,Bangalore
2016-02-02,Strike,Consumer Internet,Mobile Email productivity tool,Bangalore,Multiple investors through Ten Minute Million competition,seed funding,22500.0,Bangalore
2016-02-02,MaaxMarket,Consumer Internet,Marketing Automation platform,Bangalore,Multiple investors through Ten Minute Million competition,seed funding,22500.0,Bangalore
2016-02-02,Gamooz,Technology,Augmented Reality Solutions,Gurgaon,Multiple investors through Ten Minute Million competition,seed funding,22500.0,Gurgaon
2016-02-02,SoundSurround,Technology,Audio Technology Solutions,Mumbai,Multiple investors through Ten Minute Million competition,seed funding,22500.0,Mumbai
2016-02-03,Mazkara,Consumer Internet,Beauty & Wellness Platform,Pune / Dubai,Dunamis Ventures Pte Ltd.,seed funding,1000000.0,Pune / Dubai
2016-02-03,RoadGods,ECommerce,Auto Spare Parts eTailer,New Delhi,Green House Ventures (GHV),seed funding,100000.0,New Delhi
2016-02-03,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Noida,Green House Ventures (GHV),seed funding,100000.0,Noida
2016-02-03,Woodpie,Consumer Internet,Book Recommendation Service,Bangalore,Ingram Content Group,seed funding,30000.0,Bangalore
2016-02-04,Perfumery,ECommerce,Fragrances & Perfume eTailer,New Delhi,Oranda Global & Others,seed funding,30000.0,New Delhi
2016-02-05,Magic Crate,Education,Children Education Platform,Bangalore,"TV Mohandas Pai, Aarin Capital",seed funding,1700000.0,Bangalore
2016-02-05,ZenDrive,Technology,Safe Driving Data & Analytics platform,Bangalore / SFO,"Sherpa Capital, Nyca Partners and Thomvest Ventures",private equity,13500000.0,Bangalore / SFO
2016-02-05,Smartcooky,ECommerce,Marketplace for Health Foods,New Delhi,"Vandana Luthra,",private equity,1700000.0,New Delhi
2016-02-05,Turtlemint,Consumer Internet,online personalized insurance platform,Mumbai,Nexus Venture Partners,private equity,1700000.0,Mumbai
2016-02-05,BHIVE,Real Estate,Workspace Rentals,Bangalore,"Raghunandan G, Venturesity, Arihant Patni",seed funding,1700000.0,Bangalore
2016-02-05,Gingercrush,Ecommerce,Personalized Products & Merchandize eTailer,Vadodara,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",private equity,1000000.0,Vadodara
2016-02-05,American Vision,Consumer Internet,Optical Store Aggregator Platform,Pune,Undisclosed investors,seed funding,81000.0,Pune
2016-02-05,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Varanasi,Undisclosed investors,seed funding,52000.0,Varanasi
2016-02-06,Heads Up For Tails,Ecommerce,Pet Products eTailer,New Delhi,Undisclosed investors,seed funding,1000000.0,New Delhi
2016-02-06,LiveNutriFit,Healthcare,Weight loss & Healthcare Info portal,New Delhi,"Mohit Goel, Vinod Jain & Others",seed funding,1700000.0,New Delhi
2016-02-08,Moglix,Ecommerce,Industrial & Home Products Marketplace,New Delhi,Ratan Tata,private equity,1700000.0,New Delhi
2016-02-08,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Gurgaon,Green House Ventures (GHV),seed funding,100000.0,Gurgaon
2016-02-08,AdUrCup,Consumer Internet,Ad Network,New Delhi,Green House Ventures (GHV),seed funding,100000.0,New Delhi
2016-02-08,Weddingz,Consumer Internet,online marketplace for wedding venues and vendors,Mumbai,Sixth Sense Ventures,private equity,1700000.0,Mumbai
2016-02-08,Urban Dhobi,Consumer Internet,On Demand Laundry Services,Jaipur,"Vinod Bansal, Sanjeev Singhal",seed funding,1700000.0,Jaipur
2016-02-08,Gray Routes,Consumer Internet,Last mile logistics solutions,Mumbai,"Mahesh Parasuraman, Rahul Gautam & Others",seed funding,1700000.0,Mumbai
2016-02-08,Xpressbees,ECommerce,ECommerce Logistics solutions,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",private equity,12500000.0,Pune
2016-02-08,Invictus Oncology,Healthcare,Cancer therapeutic Info & Solutions,New Delhi,Ratan Tata,private equity,1700000.0,New Delhi
2016-02-08,Hansel.io,Technology,Mobile App Tech Solutions,Bangalore,"Endiya Partners, Mekin Maheshwari, Rajesh Sawhney",seed funding,1700000.0,Bangalore
2016-02-09,Inc42,Consumer Internet,Startup Focused Media News Portal,New Delhi,"India Ventures, Aarin Capital & Others",seed funding,1700000.0,New Delhi
2016-02-09,GOQii,Technology,Personalized fitness coaching & Fitness band,Mumbai,Edelweiss Financial Services,private equity,1700000.0,Mumbai
2016-02-10,Capzest,Consumer Internet,Digital Lending Platform,Mumbai,Lion Ventures,seed funding,200000.0,Mumbai
2016-02-10,GlamStudios,Consumer Internet,Online Salon Aggregator,Noida,Aqeel Ahmed,seed funding,1700000.0,Noida
2016-02-10,Affimity,Consumer Internet,Social Networking platform,Bangalore,undisclosed investors,seed funding,1200000.0,Bangalore
2016-02-10,Anandakanda,Technology,Medicine Intake Reminder System,Pune,undisclosed investors,seed funding,150000.0,Pune
2016-02-10,JoulestoWatts,Technology,IT services & Talent collaboration services startup,Bangalore,Manipal Global Education Services,seed funding,1700000.0,Bangalore
2016-02-10,Shopkirana,Consumer Internet,Retailer Supply Chain platform,Indore,"Atul Jain, Anil Gelra, Jaikumar Nair",seed funding,1700000.0,Indore
2016-02-10,Stylofie,Consumer Internet,Online Beauty Parlour search & discovery Platform,Gurgaon,Jaideep Mehta,seed funding,1700000.0,Gurgaon
2016-02-10,OyBob,eCommerce,Hyperlocal Products & Services marketplace,Gurgaon,Sachin Dalal,seed funding,1700000.0,Gurgaon
2016-02-12,ActOnMagic,Technology,Cloud Analytics and Management Products,Bangalore,Jayabalan Subramanian,seed funding,125000.0,Bangalore
2016-02-12,Bonhomia,Food & Beverage,premium Tea and Coffee,New Delhi,"Alok Rawat, Grey Orange Robotics",seed funding,1000000.0,New Delhi
2016-02-12,iGrenEnergi,Technology,Solar Power Solutions,Mumbai,Sunil Mehta,seed funding,1000000.0,Mumbai
2016-02-12,RKSV,Consumer Internet,Online Stock Trading Platform,Mumbai,Kalaari Capital,private equity,4000000.0,Mumbai
2016-02-15,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,Mumbai,"Aspada Advisors, IDG Ventures,\\xc2\\xa0 Inventus Capital",private equity,5000000.0,Mumbai
2016-02-15,Snapdeal,eCommerce,Horizontal Online Marketplace,New Delhi,Ontario Teachers\\xe2\\x80\\x99 Pension Plan & Others,private equity,200000000.0,New Delhi
2016-02-15,Jugnoo,Consumer Internet,Transportation & On-demand delivery aggregator,Chandigarh,Saumya Tandon,private equity,1700000.0,Chandigarh
2016-02-15,Snapbizz,Technology,Connectivity platform for local grocery stores,Bangalore,Ratan Tata,private equity,1700000.0,Bangalore
2016-02-15,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Gurgaon,Mukesh Kumar Gupta,seed funding,50000.0,Gurgaon
2016-02-15,RentSher,Consumer Internet,Online Household Product Rental platform,Bangalore,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",seed funding,300000.0,Bangalore
2016-02-15,Buddy,Finance,Micro Lending Platform for eCommerce purchases,Bangalore,"Blume Ventures,\\xc2\\xa0 Tracxn Labs",seed funding,500000.0,Bangalore
2016-02-15,Legistify,Consumer Internet,Online Legal services platform,New Delhi,Ranjit Singh,seed funding,1700000.0,New Delhi
2016-02-16,TableHero,Consumer Internet,Dynamic Restaurant Website creator,Bangalore,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",seed funding,1000000.0,Bangalore
2016-02-16,BetterPlace,Technology,Data analytics based Verification services Platform,Bangalore,Unitus Seed Fund,seed funding,970000.0,Bangalore
2016-02-16,Salebhai,eCommerce,"Sweets, Eatables, Handicrafts Online Marketplace",Ahmedabad,"Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others",seed funding,1700000.0,Ahmedabad
2016-02-16,icustommadeit,eCommerce,Professional Custom creators Marketplace,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",private equity,4000000.0,Pune
2016-02-16,Tring,Consumer Internet,Instant Messaging App,Pune,Vishwadeep Bajaj & Others,seed funding,1700000.0,Pune
2016-02-16,Medinfi,Consumer Internet,Doctor & Clinics Discovery platform,Bangalore,"Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal",seed funding,1700000.0,Bangalore
2016-02-17,Timemytask,Consumer Internet,On-Demand home cleaning services,Mumbai,Lead Angels,seed funding,1700000.0,Mumbai
2016-02-17,GameZop,Technology,Mobile Gaming Platform,New Delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",seed funding,350000.0,New Delhi
2016-02-17,Notary Mama,Consumer Internet,On-demand Legal documentation and registration service,Bangalore,"Dr Nandish Domlur, Amit Sandill",seed funding,1700000.0,Bangalore
2016-02-17,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,private equity,10000000.0,Mumbai
2016-02-17,Avanti Learning,Education,Private Coaching Classes,New Delhi,Michael & Susan Dell Foundation,private equity,5000000.0,New Delhi
2016-02-17,Bollant Industries,Technology,Eco-friendly consumer & packaging products,Hyderabad,Ratan Tata,private equity,1700000.0,Hyderabad
2016-02-18,GetVee,Consumer Internet,Matrimony & Couples only mobile platform,New Delhi,"Lightspeed Venture Partners, K Ganesh",private equity,1700000.0,New Delhi
2016-02-18,HealthKumbh,Consumer Internet,Health related Information portal,Ahmedabad,Undisclosed investor,seed funding,73000.0,Ahmedabad
2016-02-18,Unlaze,Consumer Internet,Social Networking app for outdoor interests,Gurgaon,"Sujal Shah, Dino Morea",seed funding,1700000.0,Gurgaon
2016-02-18,Tracxn,Technology,Indian Startup ecosystem trends analyzer & funding platform,Bangalore,"Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato",private equity,1700000.0,Bangalore
2016-02-18,Careongo,ECommerce,Online Pharmacy store,New Delhi,Farooq Oomerbhoy & Other angel investors,seed funding,300000.0,New Delhi
2016-02-18,Ark Robot,Technology,Warehouse Automation,Bangalore,Qualcomm (Through QPrize Contest),seed funding,350000.0,Bangalore
2016-02-19,Jaypore,ECommerce,Ethnic Products marketplace,New Delhi,Aavishkaar,private equity,5000000.0,New Delhi
2016-02-19,Finance Buddha,Consumer Internet,Online Loan Comparison & Discovery platform,Bangalore,Chennai Angels,seed funding,1700000.0,Bangalore
2016-02-19,AlmaConnect,Consumer Internet,Alumni social network,New Delhi,"Mohandas Pai, Varun Aggarwal",seed funding,1700000.0,New Delhi
2016-02-19,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Gurgaon,Purvi Ventures & Others,seed funding,400000.0,Gurgaon
2016-02-19,LocalRamu,Consumer Internet,mobile based aggregator for local service providers,Bangalore,3 undisclosed investors,seed funding,1700000.0,Bangalore
2016-02-22,Baby Berry,Consumer Internet,Parenting Mobile app,Bangalore,Nitin Bagmane & Other undisclosed investors,seed funding,1000000.0,Bangalore
2016-02-22,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,New Delhi,Lightspeed India,private equity,3000000.0,New Delhi
2016-02-22,First Eat,Consumer Internet,Healthy Food Delivery platform,New Delhi,Undisclosed investor,seed funding,100000.0,New Delhi
2016-02-22,SigTuple,Technology,Healthcare based Tech Solutions,Bangalore,"Sachin Bansal, Binny Bansal, Accel Partners & Others",seed funding,1700000.0,Bangalore
2016-02-22,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",private equity,4500000.0,Mumbai
2016-02-22,Styledotme,Consumer Internet,Mobile Fashion App,New Delhi,Indian Angel Network,seed funding,37000.0,New Delhi
2016-02-22,NewsLaundry,Consumer Internet,Independent News Media Portal,New Delhi,"Omidyar Network,\\xc2\\xa0 Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat",private equity,1700000.0,New Delhi
2016-02-23,CupoNation,Consumer Internet,Deals and Discount platform,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",private equity,11000000.0,Gurgaon
2016-02-23,Aarav UAV,Technology,unmanned aerial vehicles creator,Kanpur,"StartupXseed Ventures, The Phoenix Fund and others",seed funding,1700000.0,Kanpur
2016-02-24,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Bangalore,Yajnanarayana Kammaje,seed funding,160000.0,Bangalore
2016-02-24,LoanZen,Consumer Internet,Peer to peer Lending marketplace,Bangalore,Tracxn Syndicate,seed funding,1700000.0,Bangalore
2016-02-24,NoBroker,Consumer Internet,Peer to peer property listing platform,Bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",private equity,10000000.0,Bangalore
2016-02-24,AppilyEver,Consumer Internet,Online wedding services marketplace,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",seed funding,400000.0,Hyderabad
2016-02-24,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Noida,Swastika Company Ltd,seed funding,150000.0,Noida
2016-02-24,FeetApart,Consumer Internet,Employee engagements & Rewards platform,Bangalore,Vishal Bali & Others,seed funding,1700000.0,Bangalore
2016-02-25,OfBusiness,eCommerce,B2B commerce Marketplace,Gurgaon,Matrix Partners India,private equity,5000000.0,Gurgaon
2016-02-25,CarveNiche,Consumer Internet,Personalized Learning Solutions & products,Bangalore,"Calcutta Angels, Lead Angels & Others",seed funding,1700000.0,Bangalore
2016-02-25,Juspay,Consumer Internet,Digital Payments solutions,Bangalore,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",private equity,5800000.0,Bangalore
2016-02-25,Funcart,eCommerce,Party Supplies Etailer,New Delhi,Undisclosed HNIs,seed funding,70000.0,New Delhi
2016-02-26,Freedom Smart Labs,Technology,IoT retail solutions,New Delhi,Kapil Goel,seed funding,145000.0,New Delhi
2016-02-26,EduBridge,Consumer Internet,Skill development and vocational training platform,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",private equity,2500000.0,Mumbai
2016-02-29,Nestaway,Consumer Internet,Online Home Rental Marketplace,Bangalore,Ratan Tata,private equity,1700000.0,Bangalore
2016-02-29,Hopscotch,eCommerce,Baby & Kids Products Online Flash sales platform,Mumbai,Eduardo Saverin,private equity,13000000.0,Mumbai
2016-02-29,PinClick,Consumer Internet,Online real estate listings,Bangalore,Undisclosed investors,private equity,1700000.0,Bangalore
2016-01-01,Smartcooky,ECommerce,Health Food / Personal Care Marketplace,New Delhi,"Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga",seed funding,1700000.0,New Delhi
2016-01-01,Helpi,Consumer Internet,On Demand Cleaning Services Mobile App,Mumbai,Undisclosed Investors,seed funding,1700000.0,Mumbai
2016-01-04,DogSpot,ECommerce,Online Pet Store,Gurgaon,Ratan Tata,seed funding,1700000.0,Gurgaon
2016-01-04,Career360,Education,College Education Portal,New Delhi,MeritTrac,private equity,1700000.0,New Delhi
2016-01-04,B9 Beverages,Food & Beverage,Craft Beer manufacturing company,New Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",private equity,6000000.0,New Delhi
